crew_row_id,movie_id,person_id,person_name,job,department
68,49026,525,Christopher Nolan,Screenplay,Writing
69,49026,525,Christopher Nolan,Director,Directing
70,16869,138,Quentin Tarantino,Writer,Writing
71,16869,138,Quentin Tarantino,Director,Directing
72,76341,20629,George Miller,Director,Directing
73,76341,20629,George Miller,Writer,Writing
74,76341,1027146,Nico Lathouris,Writer,Writing
75,76341,1468313,Brendan McCarthy,Writer,Writing
76,271110,5552,Stephen McFeely,Screenplay,Writing
77,271110,5551,Christopher Markus,Screenplay,Writing
78,271110,19272,Joe Russo,Director,Directing
79,271110,19271,Anthony Russo,Director,Directing
80,121,126,Fran Walsh,Screenplay,Writing
81,121,128,Philippa Boyens,Screenplay,Writing
82,121,11325,Stephen Sinclair,Screenplay,Writing
83,121,108,Peter Jackson,Screenplay,Writing
84,121,108,Peter Jackson,Director,Directing
85,672,10967,Steve Kloves,Screenplay,Writing
86,672,10965,Chris Columbus,Director,Directing
87,284054,1056121,Ryan Coogler,Writer,Writing
88,284054,1151834,Joe Robert Cole,Writer,Writing
89,284054,1056121,Ryan Coogler,Director,Directing
90,150540,12890,Pete Docter,Director,Directing
91,150540,1457025,Meg LeFauve,Screenplay,Writing
92,150540,84496,Josh Cooley,Screenplay,Writing
93,150540,12890,Pete Docter,Screenplay,Writing
94,284052,564940,Jon Spaihts,Writer,Writing
95,284052,55499,Scott Derrickson,Writer,Writing
96,284052,928106,C. Robert Cargill,Writer,Writing
97,284052,55499,Scott Derrickson,Director,Directing
98,68721,1108,Shane Black,Director,Directing
99,68721,1108,Shane Black,Screenplay,Writing
100,68721,1239407,Drew Pearce,Screenplay,Writing
101,70160,23964,Gary Ross,Director,Directing
102,70160,23964,Gary Ross,Screenplay,Writing
103,70160,21807,Billy Ray,Screenplay,Writing
104,70160,189111,Suzanne Collins,Screenplay,Writing
105,315635,52935,John Francis Daley,Screenplay,Writing
106,315635,1246890,Chris McKenna,Screenplay,Writing
107,315635,101814,Christopher Ford,Screenplay,Writing
108,315635,1293994,Jon Watts,Screenplay,Writing
109,315635,1236679,Jonathan Goldstein,Screenplay,Writing
110,315635,1350918,Erik Sommers,Screenplay,Writing
111,315635,1293994,Jon Watts,Director,Directing
112,807,7467,David Fincher,Director,Directing
113,807,12047,Andrew Kevin Walker,Writer,Writing
114,673,11218,Alfonso Cuarón,Director,Directing
115,673,10967,Steve Kloves,Screenplay,Writing
116,238,3083,Mario Puzo,Screenplay,Writing
117,238,1776,Francis Ford Coppola,Screenplay,Writing
118,238,1776,Francis Ford Coppola,Director,Directing
119,283995,15218,James Gunn,Writer,Writing
120,283995,15218,James Gunn,Director,Directing
121,1771,4945,Joe Johnston,Director,Directing
122,1771,5552,Stephen McFeely,Screenplay,Writing
123,1771,5551,Christopher Markus,Screenplay,Writing
124,272,3893,David S. Goyer,Screenplay,Writing
125,272,525,Christopher Nolan,Screenplay,Writing
126,272,525,Christopher Nolan,Director,Directing
127,10138,15009,Justin Theroux,Screenplay,Writing
128,10138,15277,Jon Favreau,Director,Directing
129,11,1,George Lucas,Writer,Writing
130,11,1,George Lucas,Director,Directing
131,10195,20401,Don Payne,Screenplay,Writing
132,10195,11181,Kenneth Branagh,Director,Directing
133,10195,67484,Ashley Miller,Screenplay,Writing
134,10195,67485,Zack Stentz,Screenplay,Writing
135,22,1706,Terry Rossio,Screenplay,Writing
136,22,1704,Gore Verbinski,Director,Directing
137,22,1705,Ted Elliott,Screenplay,Writing
138,634649,1293994,Jon Watts,Director,Directing
139,634649,1246890,Chris McKenna,Writer,Writing
140,634649,1350918,Erik Sommers,Writer,Writing
141,674,10723,Mike Newell,Director,Directing
142,674,10967,Steve Kloves,Screenplay,Writing
143,297761,19769,David Ayer,Writer,Writing
144,297761,19769,David Ayer,Director,Directing
145,284053,87173,Craig Kyle,Writer,Writing
146,284053,109542,Christopher L. Yost,Writer,Writing
147,284053,55934,Taika Waititi,Director,Directing
148,284053,579281,Eric Pearson,Writer,Writing
149,12445,11343,David Yates,Director,Directing
150,12445,10967,Steve Kloves,Screenplay,Writing
151,105,24,Robert Zemeckis,Director,Directing
152,105,24,Robert Zemeckis,Writer,Writing
153,105,1058,Bob Gale,Writer,Writing
154,14160,10,Bob Peterson,Screenplay,Writing
155,14160,12890,Pete Docter,Director,Directing
156,14160,12890,Pete Docter,Screenplay,Writing
157,135397,67802,Rick Jaffa,Screenplay,Writing
158,135397,930707,Colin Trevorrow,Director,Directing
159,135397,67803,Amanda Silver,Screenplay,Writing
160,135397,1020013,Derek Connolly,Screenplay,Writing
161,135397,930707,Colin Trevorrow,Screenplay,Writing
162,286217,578,Ridley Scott,Director,Directing
163,286217,47506,Drew Goddard,Screenplay,Writing
164,354912,8,Lee Unkrich,Director,Directing
165,354912,1684652,Adrian Molina,Screenplay,Writing
166,354912,74343,Matthew Aldrich,Screenplay,Writing
167,98,929,David Franzoni,Screenplay,Writing
168,98,933,William Nicholson,Screenplay,Writing
169,98,932,John Logan,Screenplay,Writing
170,98,578,Ridley Scott,Director,Directing
171,245891,1076800,Derek Kolstad,Writer,Writing
172,245891,40644,Chad Stahelski,Director,Directing
173,297762,6884,Patty Jenkins,Director,Directing
174,297762,1213170,Allan Heinberg,Screenplay,Writing
175,102899,59026,Peyton Reed,Director,Directing
176,102899,11090,Edgar Wright,Screenplay,Writing
177,102899,155531,Joe Cornish,Screenplay,Writing
178,102899,55710,Adam McKay,Screenplay,Writing
179,102899,22226,Paul Rudd,Screenplay,Writing
180,675,10296,Michael Goldenberg,Screenplay,Writing
181,675,11343,David Yates,Director,Directing
182,767,11343,David Yates,Director,Directing
183,767,10967,Steve Kloves,Screenplay,Writing
184,557,508,David Koepp,Screenplay,Writing
185,557,7623,Sam Raimi,Director,Directing
186,496243,2320121,Han Jin-won,Screenplay,Writing
187,496243,21684,Bong Joon Ho,Director,Directing
188,496243,21684,Bong Joon Ho,Screenplay,Writing
189,12,7,Andrew Stanton,Director,Directing
190,12,7,Andrew Stanton,Screenplay,Writing
191,12,10,Bob Peterson,Screenplay,Writing
192,12,11,David Reynolds,Screenplay,Writing
193,140607,15344,J.J. Abrams,Director,Directing
194,140607,16961,Michael Arndt,Writer,Writing
195,140607,8844,Lawrence Kasdan,Writer,Writing
196,140607,15344,J.J. Abrams,Writer,Writing
197,263115,366,James Mangold,Director,Directing
198,263115,191937,Michael Green,Screenplay,Writing
199,263115,2199,Scott Frank,Screenplay,Writing
200,263115,366,James Mangold,Screenplay,Writing
201,12444,11343,David Yates,Director,Directing
202,12444,10967,Steve Kloves,Screenplay,Writing
203,10681,7,Andrew Stanton,Director,Directing
204,10681,15020,Jim Reardon,Screenplay,Writing
205,10681,7,Andrew Stanton,Screenplay,Writing
206,37165,2690,Peter Weir,Director,Directing
207,37165,8685,Andrew Niccol,Writer,Writing
208,346364,1113116,Andy Muschietti,Director,Directing
209,346364,87257,Cary Joji Fukunaga,Screenplay,Writing
210,346364,1625271,Chase Palmer,Screenplay,Writing
211,346364,1338249,Gary Dauberman,Screenplay,Writing
212,862,7879,John Lasseter,Director,Directing
213,862,12893,Alec Sokolow,Screenplay,Writing
214,862,12892,Joel Cohen,Screenplay,Writing
215,862,12891,Joss Whedon,Screenplay,Writing
216,862,7,Andrew Stanton,Screenplay,Writing
217,100402,5551,Christopher Markus,Screenplay,Writing
218,100402,5552,Stephen McFeely,Screenplay,Writing
219,100402,19272,Joe Russo,Director,Directing
220,100402,19271,Anthony Russo,Director,Directing
221,210577,1194205,Gillian Flynn,Screenplay,Writing
222,210577,7467,David Fincher,Director,Directing
223,585,7,Andrew Stanton,Screenplay,Writing
224,585,12890,Pete Docter,Director,Directing
225,585,7884,Daniel Gerson,Screenplay,Writing
226,8587,7933,Jonathan Roberts,Screenplay,Writing
227,8587,15812,Roger Allers,Director,Directing
228,8587,18898,Rob Minkoff,Director,Directing
229,8587,38792,Linda Woolverton,Screenplay,Writing
230,8587,56041,Irene Mecchi,Screenplay,Writing
231,49051,10828,Guillermo del Toro,Screenplay,Writing
232,49051,126,Fran Walsh,Screenplay,Writing
233,49051,108,Peter Jackson,Director,Directing
234,49051,128,Philippa Boyens,Screenplay,Writing
235,49051,108,Peter Jackson,Screenplay,Writing
236,259316,11343,David Yates,Director,Directing
237,259316,10966,J.K. Rowling,Writer,Writing
238,329865,137427,Denis Villeneuve,Director,Directing
239,329865,115033,Eric Heisserer,Screenplay,Writing
240,497,4027,Frank Darabont,Director,Directing
241,497,4027,Frank Darabont,Writer,Writing
242,281957,223,Alejandro G. Iñárritu,Director,Directing
243,281957,223,Alejandro G. Iñárritu,Screenplay,Writing
244,281957,64785,Mark L. Smith,Screenplay,Writing
245,383498,91269,Paul Wernick,Writer,Writing
246,383498,10859,Ryan Reynolds,Writer,Writing
247,383498,7932,Rhett Reese,Writer,Writing
248,383498,40684,David Leitch,Director,Directing
249,209112,15217,Zack Snyder,Director,Directing
250,209112,3893,David S. Goyer,Screenplay,Writing
251,209112,131680,Chris Terrio,Screenplay,Writing
252,24,138,Quentin Tarantino,Writer,Writing
253,24,138,Quentin Tarantino,Director,Directing
254,694,10404,Diane Johnson,Screenplay,Writing
255,694,240,Stanley Kubrick,Screenplay,Writing
256,694,240,Stanley Kubrick,Director,Directing
257,419430,291263,Jordan Peele,Director,Directing
258,419430,291263,Jordan Peele,Writer,Writing
259,9806,7087,Brad Bird,Director,Directing
260,9806,7087,Brad Bird,Writer,Writing
261,808,5524,Andrew Adamson,Director,Directing
262,808,12058,Vicky Jenson,Director,Directing
263,808,1706,Terry Rossio,Writer,Writing
264,808,12083,Joe Stillman,Writer,Writing
265,808,1705,Ted Elliott,Writer,Writing
266,808,12061,Roger S.H. Schulman,Writer,Writing
267,1930,87742,Marc Webb,Director,Directing
268,1930,20204,James Vanderbilt,Screenplay,Writing
269,1930,7630,Alvin Sargent,Screenplay,Writing
270,1930,10967,Steve Kloves,Screenplay,Writing
271,2062,7087,Brad Bird,Director,Directing
272,2062,7087,Brad Bird,Screenplay,Writing
273,77338,84425,Éric Toledano,Director,Directing
274,77338,84426,Olivier Nakache,Screenplay,Writing
275,77338,84425,Éric Toledano,Screenplay,Writing
276,77338,84426,Olivier Nakache,Director,Directing
277,129,608,Hayao Miyazaki,Director,Directing
278,129,608,Hayao Miyazaki,Screenplay,Writing
279,1891,8844,Lawrence Kasdan,Screenplay,Writing
280,1891,4298,Leigh Brackett,Screenplay,Writing
281,1891,10930,Irvin Kershner,Director,Directing
282,101299,57631,Simon Beaufoy,Screenplay,Writing
283,101299,16961,Michael Arndt,Screenplay,Writing
284,101299,10943,Francis Lawrence,Director,Directing
285,76338,47005,Alan Taylor,Director,Directing
286,76338,5551,Christopher Markus,Screenplay,Writing
287,76338,5552,Stephen McFeely,Screenplay,Writing
288,76338,109542,Christopher L. Yost,Screenplay,Writing
289,381288,11614,M. Night Shyamalan,Director,Directing
290,381288,11614,M. Night Shyamalan,Writer,Writing
291,269149,76595,Byron Howard,Director,Directing
292,269149,165787,Rich Moore,Director,Directing
293,269149,1318201,Jared Bush,Screenplay,Writing
294,269149,567562,Phil Johnston,Screenplay,Writing
295,18785,57130,Todd Phillips,Director,Directing
296,18785,52114,Jon Lucas,Writer,Writing
297,18785,52115,Scott Moore,Writer,Writing
298,313369,136495,Damien Chazelle,Writer,Writing
299,313369,136495,Damien Chazelle,Director,Directing
300,198663,1227160,Noah Oppenheim,Screenplay,Writing
301,198663,1179066,Wes Ball,Director,Directing
302,198663,1257095,Grant Pierce Myers,Screenplay,Writing
303,198663,1257144,T.S. Nowlin,Screenplay,Writing
304,205596,77965,Morten Tyldum,Director,Directing
305,205596,221850,Graham Moore,Writer,Writing
306,274,16294,Jonathan Demme,Director,Directing
307,274,57862,Ted Tally,Screenplay,Writing
308,329,508,David Koepp,Screenplay,Writing
309,329,488,Steven Spielberg,Director,Directing
310,329,4782,Michael Crichton,Screenplay,Writing
311,207703,957,Matthew Vaughn,Director,Directing
312,207703,23447,Jane Goldman,Writer,Writing
313,207703,957,Matthew Vaughn,Writer,Writing
314,424694,1041394,Anthony McCarten,Writer,Writing
315,424694,9032,Bryan Singer,Director,Directing
316,1124,527,Jonathan Nolan,Screenplay,Writing
317,1124,525,Christopher Nolan,Screenplay,Writing
318,1124,525,Christopher Nolan,Director,Directing
319,374720,525,Christopher Nolan,Writer,Writing
320,374720,525,Christopher Nolan,Director,Directing
321,109445,15774,Chris Buck,Director,Directing
322,109445,1120694,Jennifer Lee,Director,Directing
323,109445,1120694,Jennifer Lee,Screenplay,Writing
324,424,488,Steven Spielberg,Director,Directing
325,424,2260,Steven Zaillian,Screenplay,Writing
326,324857,107446,Phil Lord,Screenplay,Writing
327,324857,936670,Bob Persichetti,Director,Directing
328,324857,59918,Rodney Rothman,Screenplay,Writing
329,324857,151007,Peter Ramsey,Director,Directing
330,324857,59918,Rodney Rothman,Director,Directing
331,857,488,Steven Spielberg,Director,Directing
332,857,12832,Robert Rodat,Writer,Writing
333,335983,3228,Scott Rosenberg,Screenplay,Writing
334,335983,168309,Jeff Pinkner,Screenplay,Writing
335,335983,91268,Ruben Fleischer,Director,Directing
336,335983,940376,Kelly Marcel,Screenplay,Writing
337,58,1704,Gore Verbinski,Director,Directing
338,58,1706,Terry Rossio,Screenplay,Writing
339,58,1705,Ted Elliott,Screenplay,Writing
340,640,488,Steven Spielberg,Director,Directing
341,640,2689,Jeff Nathanson,Screenplay,Writing
342,429617,1246890,Chris McKenna,Writer,Writing
343,429617,1350918,Erik Sommers,Screenplay,Writing
344,429617,1293994,Jon Watts,Director,Directing
345,240832,59,Luc Besson,Director,Directing
346,240832,59,Luc Besson,Writer,Writing
347,333339,488,Steven Spielberg,Director,Directing
348,333339,11011,Zak Penn,Screenplay,Writing
349,333339,74624,Ernest Cline,Screenplay,Writing
350,1892,8844,Lawrence Kasdan,Screenplay,Writing
351,1892,1,George Lucas,Screenplay,Writing
352,1892,19800,Richard Marquand,Director,Directing
353,6479,10943,Francis Lawrence,Director,Directing
354,6479,6854,Mark Protosevich,Screenplay,Writing
355,6479,5575,Akiva Goldsman,Screenplay,Writing
356,339403,11090,Edgar Wright,Director,Directing
357,339403,11090,Edgar Wright,Writer,Writing
358,75656,1105707,Edward Ricourt,Screenplay,Writing
359,75656,18865,Louis Leterrier,Director,Directing
360,75656,52358,Boaz Yakin,Screenplay,Writing
361,75656,9612,Ed Solomon,Screenplay,Writing
362,299537,53068,Ryan Fleck,Director,Directing
363,299537,1612453,Geneva Robertson-Dworet,Screenplay,Writing
364,299537,53068,Ryan Fleck,Screenplay,Writing
365,299537,53069,Anna Boden,Director,Directing
366,299537,53069,Anna Boden,Screenplay,Writing
367,244786,136495,Damien Chazelle,Writer,Writing
368,244786,136495,Damien Chazelle,Director,Directing
369,131631,10943,Francis Lawrence,Director,Directing
370,131631,35550,Danny Strong,Screenplay,Writing
371,131631,225633,Peter Craig,Screenplay,Writing
372,72190,28974,Damon Lindelof,Screenplay,Writing
373,72190,12995,Marc Forster,Director,Directing
374,72190,47506,Drew Goddard,Screenplay,Writing
375,72190,36603,Matthew Michael Carnahan,Screenplay,Writing
376,177572,78600,Jordan Roberts,Screenplay,Writing
377,177572,7884,Daniel Gerson,Screenplay,Writing
378,177572,7931,Robert L. Baird,Screenplay,Writing
379,177572,227439,Don Hall,Director,Directing
380,177572,70238,Chris Williams,Director,Directing
381,558,7630,Alvin Sargent,Screenplay,Writing
382,558,7623,Sam Raimi,Director,Directing
383,348,578,Ridley Scott,Director,Directing
384,348,5045,Dan O'Bannon,Screenplay,Writing
385,330459,129894,Gareth Edwards,Director,Directing
386,330459,3288,Chris Weitz,Screenplay,Writing
387,330459,19242,Tony Gilroy,Screenplay,Writing
388,38,201,Michel Gondry,Director,Directing
389,38,202,Charlie Kaufman,Screenplay,Writing
390,181808,67367,Rian Johnson,Writer,Writing
391,181808,67367,Rian Johnson,Director,Directing
392,49047,11218,Alfonso Cuarón,Writer,Writing
393,49047,1003190,Jonás Cuarón,Writer,Writing
394,49047,11218,Alfonso Cuarón,Director,Directing
395,77,525,Christopher Nolan,Screenplay,Writing
396,77,525,Christopher Nolan,Director,Directing
397,127585,9032,Bryan Singer,Director,Directing
398,127585,11092,Simon Kinberg,Screenplay,Writing
399,1422,1032,Martin Scorsese,Director,Directing
400,1422,34510,William Monahan,Screenplay,Writing
401,49521,15217,Zack Snyder,Director,Directing
402,49521,3893,David S. Goyer,Screenplay,Writing
403,120467,5655,Wes Anderson,Director,Directing
404,120467,5655,Wes Anderson,Screenplay,Writing
405,101,59,Luc Besson,Screenplay,Writing
406,101,59,Luc Besson,Director,Directing
407,118,510,Tim Burton,Director,Directing
408,118,1300,John August,Screenplay,Writing
409,37724,39,Sam Mendes,Director,Directing
410,37724,932,John Logan,Screenplay,Writing
411,37724,10782,Neal Purvis,Screenplay,Writing
412,37724,10783,Robert Wade,Screenplay,Writing
413,20352,52360,Ken Daurio,Screenplay,Writing
414,20352,124747,Pierre Coffin,Director,Directing
415,20352,124748,Chris Renaud,Director,Directing
416,20352,52361,Cinco Paul,Screenplay,Writing
417,321612,15557,Bill Condon,Director,Directing
418,321612,19311,Stephen Chbosky,Screenplay,Writing
419,321612,80675,Evan Spiliotopoulos,Screenplay,Writing
420,1893,1,George Lucas,Director,Directing
421,1893,1,George Lucas,Writer,Writing
422,10193,8,Lee Unkrich,Director,Directing
423,10193,16961,Michael Arndt,Screenplay,Writing
424,752,9340,Lana Wachowski,Screenplay,Writing
425,752,11266,James McTeigue,Director,Directing
426,752,9339,Lilly Wachowski,Screenplay,Writing
427,44214,6431,Darren Aronofsky,Director,Directing
428,44214,143258,Mark Heyman,Screenplay,Writing
429,44214,143259,Andres Heinz,Screenplay,Writing
430,44214,1054633,John J. McLaughlin,Screenplay,Writing
431,285,1704,Gore Verbinski,Director,Directing
432,285,1706,Terry Rossio,Screenplay,Writing
433,285,1705,Ted Elliott,Screenplay,Writing
434,500,138,Quentin Tarantino,Writer,Writing
435,500,138,Quentin Tarantino,Director,Directing
436,122917,108,Peter Jackson,Director,Directing
437,122917,10828,Guillermo del Toro,Screenplay,Writing
438,122917,128,Philippa Boyens,Screenplay,Writing
439,122917,126,Fran Walsh,Screenplay,Writing
440,122917,108,Peter Jackson,Screenplay,Writing
441,447332,1317685,Scott Beck,Screenplay,Writing
442,447332,1317686,Bryan Woods,Screenplay,Writing
443,447332,17697,John Krasinski,Director,Directing
444,447332,17697,John Krasinski,Screenplay,Writing
445,152601,5953,Spike Jonze,Director,Directing
446,152601,5953,Spike Jonze,Writer,Writing
447,559,7630,Alvin Sargent,Screenplay,Writing
448,559,7623,Sam Raimi,Director,Directing
449,559,7623,Sam Raimi,Screenplay,Writing
450,559,7629,Ivan Raimi,Screenplay,Writing
451,273248,138,Quentin Tarantino,Screenplay,Writing
452,273248,138,Quentin Tarantino,Director,Directing
453,335984,583,Hampton Fancher,Screenplay,Writing
454,335984,191937,Michael Green,Screenplay,Writing
455,335984,137427,Denis Villeneuve,Director,Directing
456,920,7879,John Lasseter,Screenplay,Writing
457,920,958088,Jørgen Klubien,Screenplay,Writing
458,920,15892,Dan Fogelman,Screenplay,Writing
459,920,7879,John Lasseter,Director,Directing
460,920,1117780,Phil Lorin,Screenplay,Writing
461,920,1117779,Kiel Murray,Screenplay,Writing
462,920,7911,Joe Ranft,Screenplay,Writing
463,137113,11694,Doug Liman,Director,Directing
464,137113,9033,Christopher McQuarrie,Screenplay,Writing
465,137113,21339,Jez Butterworth,Screenplay,Writing
466,137113,120254,John-Henry Butterworth,Screenplay,Writing
467,393,138,Quentin Tarantino,Screenplay,Writing
468,393,138,Quentin Tarantino,Director,Directing
469,438631,137427,Denis Villeneuve,Director,Directing
470,438631,137427,Denis Villeneuve,Screenplay,Writing
471,438631,27,Eric Roth,Screenplay,Writing
472,438631,564940,Jon Spaihts,Screenplay,Writing
473,78,578,Ridley Scott,Director,Directing
474,78,583,Hampton Fancher,Screenplay,Writing
475,78,7191,David Webb Peoples,Screenplay,Writing
476,863,7879,John Lasseter,Director,Directing
477,863,7,Andrew Stanton,Screenplay,Writing
478,863,12906,Rita Hsiao,Screenplay,Writing
479,863,12907,Doug Chamberlin,Screenplay,Writing
480,863,12908,Chris Webb,Screenplay,Writing
481,1895,1,George Lucas,Director,Directing
482,1895,1,George Lucas,Screenplay,Writing
483,1865,17633,Rob Marshall,Director,Directing
484,1865,1706,Terry Rossio,Screenplay,Writing
485,1865,1705,Ted Elliott,Screenplay,Writing
486,324786,53972,Robert Schenkkan,Screenplay,Writing
487,324786,2461,Mel Gibson,Director,Directing
488,324786,137902,Andrew Knight,Screenplay,Writing
489,297802,2127,James Wan,Director,Directing
490,297802,142686,David Leslie Johnson-McGoldrick,Screenplay,Writing
491,297802,466391,Will Beall,Screenplay,Writing
492,466272,138,Quentin Tarantino,Director,Directing
493,466272,138,Quentin Tarantino,Writer,Writing
494,607,5174,Barry Sonnenfeld,Director,Directing
495,607,9612,Ed Solomon,Screenplay,Writing
496,12155,510,Tim Burton,Director,Directing
497,12155,38792,Linda Woolverton,Screenplay,Writing
498,1271,15217,Zack Snyder,Director,Directing
499,1271,17285,Kurt Johnstad,Screenplay,Writing
500,1271,15217,Zack Snyder,Screenplay,Writing
501,1271,1272667,Michael B. Gordon,Screenplay,Writing
502,10528,956,Guy Ritchie,Director,Directing
503,10528,71244,Anthony Peckham,Screenplay,Writing
504,10528,11092,Simon Kinberg,Screenplay,Writing
505,10528,112689,Michael Robert Johnson,Screenplay,Writing
506,218,2710,James Cameron,Director,Directing
507,218,2710,James Cameron,Writer,Writing
508,218,869,Gale Anne Hurd,Writer,Writing
509,353486,51851,Jake Kasdan,Director,Directing
510,353486,168309,Jeff Pinkner,Screenplay,Writing
511,353486,1246890,Chris McKenna,Screenplay,Writing
512,353486,3228,Scott Rosenberg,Screenplay,Writing
513,353486,1350918,Erik Sommers,Screenplay,Writing
514,280,2711,William Wisher,Writer,Writing
515,280,2710,James Cameron,Director,Directing
516,280,2710,James Cameron,Writer,Writing
517,769,7163,Nicholas Pileggi,Screenplay,Writing
518,769,1032,Martin Scorsese,Director,Directing
519,769,1032,Martin Scorsese,Screenplay,Writing
520,10191,66193,Chris Sanders,Director,Directing
521,10191,69797,Dean DeBlois,Screenplay,Writing
522,10191,69797,Dean DeBlois,Director,Directing
523,10191,66193,Chris Sanders,Screenplay,Writing
524,10191,21075,William Davies,Screenplay,Writing
525,8966,19850,Catherine Hardwicke,Director,Directing
526,8966,56855,Melissa Rosenberg,Screenplay,Writing
527,1894,19802,Jonathan Hales,Screenplay,Writing
528,1894,1,George Lucas,Screenplay,Writing
529,1894,1,George Lucas,Director,Directing
530,425,5713,Chris Wedge,Director,Directing
531,425,5716,Michael Berg,Screenplay,Writing
532,425,5715,Michael J. Wilson,Screenplay,Writing
533,425,5717,Peter Ackerman,Screenplay,Writing
534,102382,15345,Alex Kurtzman,Screenplay,Writing
535,102382,168309,Jeff Pinkner,Screenplay,Writing
536,102382,15346,Roberto Orci,Screenplay,Writing
537,102382,87742,Marc Webb,Director,Directing
538,76600,2710,James Cameron,Director,Directing
539,76600,2710,James Cameron,Screenplay,Writing
540,76600,67803,Amanda Silver,Screenplay,Writing
541,76600,67802,Rick Jaffa,Screenplay,Writing
542,324552,40644,Chad Stahelski,Director,Directing
543,324552,1076800,Derek Kolstad,Writer,Writing
544,264660,2036,Alex Garland,Director,Directing
545,264660,2036,Alex Garland,Writer,Writing
546,57158,128,Philippa Boyens,Screenplay,Writing
547,57158,108,Peter Jackson,Screenplay,Writing
548,57158,126,Fran Walsh,Screenplay,Writing
549,57158,108,Peter Jackson,Director,Directing
550,57158,10828,Guillermo del Toro,Screenplay,Writing
551,274870,77965,Morten Tyldum,Director,Directing
552,274870,564940,Jon Spaihts,Writer,Writing
553,363088,59026,Peyton Reed,Director,Directing
554,363088,1350918,Erik Sommers,Screenplay,Writing
555,363088,1360012,Gabriel Ferrari,Screenplay,Writing
556,363088,22226,Paul Rudd,Screenplay,Writing
557,363088,1246890,Chris McKenna,Screenplay,Writing
558,363088,1123885,Andrew Barrer,Screenplay,Writing
559,62177,126638,Mark Andrews,Screenplay,Writing
560,62177,59803,Brenda Chapman,Screenplay,Writing
561,62177,59803,Brenda Chapman,Director,Directing
562,62177,137262,Steve Purcell,Screenplay,Writing
563,62177,56041,Irene Mecchi,Screenplay,Writing
564,62177,126638,Mark Andrews,Director,Directing
565,546554,67367,Rian Johnson,Writer,Writing
566,546554,67367,Rian Johnson,Director,Directing
